,bittrex,huobi,poloniex,price,top_address_1,top_address_2,top_address_3,top_address_4,top_address_5,top_address_7,date
43,0.0,0.0,1005.06798504,996.8575,80763.56570969,0.0,5799.9952183,0.0,119439.83659727,119439.83659727,2017-02-13
44,0.0,0.0,167.41092513,1009.2513,78263.5650058,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-14
45,0.0,0.0,677.29976731,1009.1163,79298.33225324,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-15
46,0.0,0.0,1389.96884313,1034.0825,75913.59665823,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-16
47,0.0,0.0,1152.59085335,1053.1225,74875.53168538,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-17
48,0.0,0.0,1138.39847567,1058.4063,75475.18136538,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-18
49,0.0,0.0,106.08472506,1052.8175,75475.18136538,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-19
50,0.0,0.0,461.34987128,1083.2413,75475.18136538,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-20
51,0.0,0.0,243.8875666,1123.6563,74514.11886175,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-21
52,0.0,0.0,402.36792746,1122.195,78254.92906175,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-22
53,0.0,0.0,1116.80613537,1178.384,79005.20883175,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-23
54,0.0,0.0,87.16966536,1180.918,78260.4775823,0.0,5799.9952183,0.0,112439.83659727,112439.83659727,2017-02-24
55,0.0,0.0,1623.1737341,1151.581,76699.37995642,0.0,5799.9952183,0.0,103439.83659727,103439.83659727,2017-02-25
56,0.0,0.0,1471.62491373,1179.968,79344.09998642,0.0,5799.9952183,0.0,103439.83659727,103439.83659727,2017-02-26
57,0.0,0.0,1405.54722811,1194.278,79515.61767642,0.0,5799.9952183,0.0,103439.83659727,103439.83659727,2017-02-27
58,0.0,0.0,41.82794639,1190.888,81356.40665642,0.0,5799.9952183,0.0,103439.83659727,103439.83659727,2017-02-28
59,0.0,0.0,2060.45248447,1230.016,83021.94320394,0.0,5799.9952183,0.0,103439.83659727,103439.83659727,2017-03-01
60,0.0,0.0,644.84234104,1260.924,80637.42932772,0.0,5799.9952183,0.0,103439.83659727,103439.83659727,2017-03-02
61,0.0,0.0,1336.86085815,1290.786,82869.7056391,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-03
62,0.0,0.0,365.40291506,1267.68,83081.91094081,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-04
63,0.0,0.0,1585.17008046,1277.685,99988.67078081,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-05
64,0.0,0.0,686.50582695,1280.868,100972.30429081,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-06
65,0.0,0.0,678.96780825,1232.431,99694.33167305,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-07
66,0.0,0.0,308.56246239,1150.481,100366.62934305,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-08
67,0.0,0.0,1250.52856685,1191.815,102217.57277608,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-09
68,0.0,0.0,618.38413964,1117.025,102660.01133608,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-10
69,0.0,0.0,414.39969862,1181.645,100859.56611696,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-11
70,0.0,0.0,152.98792562,1229.505,95875.81489133,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-12
71,0.0,0.0,404.68423945,1243.242,98090.00094133,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-13
72,0.0,0.0,694.61837098,1246.309,97901.82819456,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-14
73,0.0,0.0,2321.32345671,1259.601,93797.81428523,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-15
74,0.0,0.0,2168.60692252,1172.909,93959.02474523,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-16
75,0.0,0.0,3958.0063493,1070.128,98070.39247187,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-17
76,0.0,0.0,575.27131977,970.598,112183.48310603,0.0,5349.993157299999,0.0,103439.83659727,103439.83659727,2017-03-18
77,0.0,0.0,2127.60758745,1017.8,132725.91504979,0.0,9850.993157300001,0.0,103439.83659727,103439.83659727,2017-03-19
